File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\LocMetricsFunctions.html,1,1,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\add_article.aspx,81,49,4,0,32,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\ads.aspx,11,6,0,0,5,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\Apple.aspx,183,156,0,0,27,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\default.aspx,150,127,0,0,23,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\footer.aspx,53,31,0,0,22,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\Google.aspx,183,156,0,0,27,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\header.aspx,23,16,0,0,7,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\login.aspx,58,34,0,0,24,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\menu.aspx,28,26,0,0,2,1,0,1,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\Microsoft.aspx,182,156,0,0,26,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\signup.aspx,62,40,0,0,22,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\test.aspx,48,28,0,0,20,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\testuser.aspx,48,28,0,0,20,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\add_article.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\Apple.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\default.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\Google.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\header.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\login.aspx.cs,25,20,12,1,5,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\Microsoft.aspx.cs,15,12,8,0,3,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\signup.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\testuser.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-fade\index.html,111,89,23,0,14,0,8,45,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-slide\index.html,100,78,19,0,14,0,8,45,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\callbacks\index.html,121,92,28,0,16,0,13,77,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\multiple\index.html,213,176,59,0,29,0,8,35,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\playing\index.html,216,179,76,0,33,0,4,19,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\standard\index.html,173,143,52,0,26,0,4,19,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\tinymce\js\tinymce\plugins\example\dialog.html,8,8,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\menu_source\index.html,29,29,0,0,0,1,0,1,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\about.html,135,134,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\blog.html,177,176,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\contact.html,155,154,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\index.html,145,142,0,0,3,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\support.html,138,137,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\footer.aspx,35,33,0,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\header.aspx,38,37,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\menu.aspx,77,75,0,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\test.aspx,4,3,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay\neutralbay\about.html,135,134,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay\neutralbay\blog.html,177,176,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay\neutralbay\contact.html,155,154,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay\neutralbay\index.html,147,146,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay\neutralbay\support.html,138,137,0,0,1,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\PageOne101\index.html,621,459,1,0,162,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\ads.aspx,11,6,0,0,5,0,0,0,0,0
